Title	TitleShort	ISSN	EISSN	Parent	Format	Field	Locale
BMC Medical Imaging			1471-2342	biomed-central	numeric	medicine	en-US
BMC Medical Genetics			1471-2350	biomed-central	numeric	medicine	en-US
BMC Nephrology			1471-2369	biomed-central	numeric	medicine	en-US
BMC Neurology			1471-2377	biomed-central	numeric	medicine	en-US
BMC Pregnancy and Childbirth			1471-2393	biomed-central	numeric	medicine	en-US
BMC Cancer			1471-2407	biomed-central	numeric	medicine	en-US
BMC Ophthalmology			1471-2415	biomed-central	numeric	medicine	en-US
BMC Pediatrics			1471-2431	biomed-central	numeric	medicine	en-US
BMC Psychiatry			1471-244X	biomed-central	numeric	medicine	en-US
BMC Public Health			1471-2458	biomed-central	numeric	medicine	en-US
BMC Pulmonary Medicine			1471-2466	biomed-central	numeric	medicine	en-US
BMC Musculoskeletal Disorders			1471-2474	biomed-central	numeric	medicine	en-US
BMC Surgery			1471-2482	biomed-central	numeric	medicine	en-US
BMC Urology			1471-2490	biomed-central	numeric	medicine	en-US
BMC Dermatology			1471-5945	biomed-central	numeric	medicine	en-US
BMC Biotechnology			1472-6750	biomed-central	numeric	biology	en-US
BMC Ecology			1472-6785	biomed-central	numeric	science	en-US
BMC Physiology			1472-6793	biomed-central	numeric	medicine	en-US
BMC Structural Biology			1472-6807	biomed-central	numeric	biology	en-US
BMC Ear, Nose and Throat Disorders			1472-6815	biomed-central	numeric	medicine	en-US
BMC Endocrine Disorders			1472-6823	biomed-central	numeric	medicine	en-US
BMC Oral Health			1472-6831	biomed-central	numeric	medicine	en-US
BMC Palliative Care			1472-684X	biomed-central	numeric	medicine	en-US
BMC Women's Health			1472-6874	biomed-central	numeric	medicine	en-US
BMC Complementary and Alternative Medicine			1472-6882	biomed-central	numeric	medicine	en-US
BMC Clinical Pathology			1472-6890	biomed-central	numeric	medicine	en-US
BMC Medical Education			1472-6920	biomed-central	numeric	medicine	en-US
BMC Medical Ethics			1472-6939	biomed-central	numeric	medicine	en-US
BMC Medical Informatics and Decision Making			1472-6947	biomed-central	numeric	medicine	en-US
BMC Nursing			1472-6955	biomed-central	numeric	medicine	en-US
BMC Health Services Research			1472-6963	biomed-central	numeric	medicine	en-US
BMC International Health and Human Rights			1472-698X	biomed-central	numeric	medicine	en-US
BMC Biology			1741-7007	biomed-central	numeric	biology	en-US
BMC Medicine			1741-7015	biomed-central	numeric	medicine	en-US
BMC Veterinary Research			1746-6148	biomed-central	numeric	biology	en-US
BMC Systems Biology			1752-0509	biomed-central	numeric	biology	en-US
BMC Medical Genomics			1755-8794	biomed-central	numeric	biology	en-US
BMC Zoology	BMC Zool		2056-3132	biomed-central	numeric	biology	en-US
BMC Sports Science, Medicine and Rehabilitation			2052-1847	biomed-central	numeric		en-US
BMC Research Notes			1756-0500	biomed-central	numeric		en-US
BMC Psychology			2050-7283	biomed-central	numeric		en-US
BMC Pharmacology and Toxicology			2050-6511	biomed-central	numeric		en-US
BMC Obesity			2052-9538	biomed-central	numeric		en-US
BMC Nutrition			2055-0928	biomed-central	numeric		en-US
BMC Biophysics			2046-1682	biomed-central	numeric		en-US
Clinical Epigenetics	Clin Epigenetics		1868-7083	springer-vancouver-brackets	numeric	science	en-US
DECISION - Indian Institute of Management Calcutta		0304-0941	2197-1722	springer-basic-author-date	author-date		en-US
EcoHealth	Ecohealth	1612-9202	1612-9210	springer-basic-author-date-no-et-al	author-date	science	en-US
European Journal of Epidemiology	Eur J Epidemiol	0393-2990	1573-7284	springer-vancouver-brackets	numeric	medicine	en-US
Food Digestion: Research and Current Opinion	Food Dig.	1869-1978	1869-1986	springer-basic-brackets	numeric	science	en-US
General Relativity and Gravitation	Gen Relativ Gravit	0001-7701	1572-9532	springer-mathphys-brackets	numeric	science	en-US
GPS Solutions	GPS Solut	1080-5370	1521-1886	springer-basic-author-date-no-et-al-with-issue	author-date	science	en-US
History and Philosophy of the Life Sciences		0391-9714	1742-6316	springer-socpsych-author-date	author-date		en-US
Insectes Sociaux		0020-1812	1420-9098	springer-basic-author-date	author-date		en-US
International Journal of Disaster Risk Science		2095-0055	2192-6395	springer-humanities-author-date	author-date		en-US
Journal of Invasive and Interventional Cardiology			2054-1783	springer-basic-brackets	numeric		en-US
Journal of Optics - official publication of the Optical Society of India	J Opt	0972-8821	0974-6900	springer-physics-brackets	numeric	physics	en-US
Large-scale Assessments in Education			2196-0739	springer-socpsych-author-date	author-date		en-US
Mediterranean Journal of Nutrition and Metabolism	Mediterr J Nutr Metab	1973-798X	1973-7998	springer-basic-brackets	numeric	science	en-US
Neurosurgical Review	Neurosurg Rev	0344-5607	1437-2320	springer-basic-brackets-no-et-al-alphabetical	numeric	science	en-US
Pflügers Archiv - European Journal of Physiology	Pflugers Arch - Eur J Physiol	0031-6768	1432-2013	springer-basic-brackets-no-et-al-alphabetical	numeric	science	en-US
Plant Ecology	Plant Ecol	1385-0237	1573-5052	springer-basic-author-date-no-et-al	author-date	science	en-US
Plant Molecular Biology	Plant Mol Biol	0167-4412	1573-5028	springer-basic-author-date-no-et-al	author-date	science	en-US
Research in the Mathematical Sciences			2197-9847	springer-mathphys-brackets	numeric		en-US
Reviews of Environmental Contamination and Toxicology	Rev Environ Contam Toxicol	0179-5953	x	springer-basic-author-date	author-date	science	en-US
Springer Science Reviews	Springer Science Reviews		2213-7793	springer-basic-brackets	numeric	science	en-US
Surgical Endoscopy	Surg Endosc	0930-2794	1432-2218	springer-basic-brackets-no-et-al	numeric	science	en-US
