Title	TitleShort	ISSN	eISSN	Field	Parent	Format	Documentation
Interfacial Phenomena and Heat Transfer	IPHT	2169-2785	2167-857X	engineering	begell-house-chicago-author-date	author-date	http://dl.begellhouse.com/forauthors/journals/728e68e739b67efe.html
International Journal for Multiscale Computational Engineering	JMC	1543-1649	1940-4352	engineering	begell-house-chicago-author-date	author-date	http://dl.begellhouse.com/forauthors/journals/61fd1b191cf7e96f.html
International Journal for Uncertainty Quantification	IJUQ	2152-5080	2152-5099	engineering	begell-house-chicago-author-date	author-date	http://dl.begellhouse.com/forauthors/journals/52034eb04b657aea.html
International Journal of Energetic Materials and Chemical Propulsion	IJEMCP	2150-766X	2150-7678	engineering	begell-house-chicago-author-date	author-date	http://dl.begellhouse.com/forauthors/journals/17bbb47e377ce023.html
International Journal of Energy for a Clean Environment	IJECE	2150-3621	2150-363X	engineering	begell-house-chicago-author-date	author-date	http://dl.begellhouse.com/forauthors/journals/6d18a859536a7b02.html
International Journal of Fluid Mechanics Research	FMR	2152-5102	2152-5110	engineering	begell-house-chicago-author-date	author-date	http://dl.begellhouse.com/forauthors/journals/71cb29ca5b40f8f8.html
International Journal of Medicinal Mushrooms	IJM	1521-9437	1940-4344	medicine	vancouver	numeric	http://dl.begellhouse.com/forauthors/journals/708ae68d64b17c52.html
International Journal of Physiology and Pathophysiology	IJPP	2155-014X	2155-0158	medicine	vancouver	numeric	http://dl.begellhouse.com/forauthors/journals/6ec4ba27650016b1.html
International Journal on Algae	IJA	1521-9429	1940-4328	biology	begell-house-chicago-author-date	author-date	http://dl.begellhouse.com/forauthors/journals/7dd4467e7de5b7ef.html
International Journal on Innovations in Online Education	IJIOE	2377-9519	2377-9527	engineering	begell-house-chicago-author-date	author-date	http://dl.begellhouse.com/forauthors/journals/42d578d554327415.html
Journal of Automation and Information Sciences	JAI(S)	1064-2315	2163-9337	engineering	begell-house-chicago-author-date	author-date	http://dl.begellhouse.com/forauthors/journals/2b6239406278e43e.html
Journal of Enhanced Heat Transfer	JEH(T)	1065-5131	1026-5511	engineering	begell-house-chicago-author-date	author-date	http://dl.begellhouse.com/forauthors/journals/4c8f5faa331b09ea.html
Journal of Environmental Pathology, Toxicology and Oncology	JEP(T)	0731-8898	2162-6537	medicine	vancouver	numeric	http://dl.begellhouse.com/forauthors/journals/0ff459a57a4c08d0.html
Journal of Flow Visualization and Image Processing	JFV	1065-3090	1940-4336	engineering	begell-house-chicago-author-date	author-date	http://dl.begellhouse.com/forauthors/journals/52b74bd3689ab10b.html
Journal of Long-Term Effects of Medical Implants	JLT	1050-6934	1940-4379	medicine	vancouver	numeric	http://dl.begellhouse.com/forauthors/journals/1bef42082d7a0fdf.html
Journal of Machine Learning for Modeling and Computing	JMLMC	2689-3967	2689-3975	engineering	begell-house-chicago-author-date	author-date	http://dl.begellhouse.com/forauthors/journals/558048804a15188a.html
Journal of Porous Media	JPM	1091-028X	1934-0508	engineering	begell-house-chicago-author-date	author-date	http://dl.begellhouse.com/forauthors/journals/49dcde6d4c0809db.html
Journal of Radio Electronics	JRE	x	2165-8439	engineering	begell-house-chicago-author-date	author-date	http://dl.begellhouse.com/forauthors/journals/49791ac230bedeec.html
Journal of Women and Minorities in Science and Engineering	JWM	1072-8325	1940-431X	social_science	begell-house-apa	author-date	http://dl.begellhouse.com/forauthors/journals/00551c876cc2f027.html
Multiphase Science and Technology	MST	0276-1459	1943-6181	engineering	begell-house-chicago-author-date	author-date	http://dl.begellhouse.com/forauthors/journals/5af8c23d50e0a883.html
Nanoscience and Technology: An International Journal	NST	2572-4258	2572-4266	physics	begell-house-chicago-author-date	author-date	http://dl.begellhouse.com/forauthors/journals/11e12455066dab5d.html
Neuropathological Diseases	NPD	2160-2468	2160-2476	medicine	begell-house-chicago-author-date	author-date	http://dl.begellhouse.com/forauthors/journals/186c6b1c2324cc08.html
Pesticides, People and Nature	PPN	1520-9350	x	medicine	vancouver	numeric	http://dl.begellhouse.com/forauthors/journals/33b67499180f0876.html
Plasma Medicine	PMED	1947-5764	1947-5772	medicine	vancouver	numeric	http://dl.begellhouse.com/forauthors/journals/5a5b4a3d419387fb.html
Radio Physics and Radio Astronomy	RPRA	2152-274X	2152-2758	physics	begell-house-chicago-author-date	author-date	http://dl.begellhouse.com/forauthors/journals/6fd1549c0e2c05da.html
Special Topics & Reviews in Porous Media: An International Journal	STRPM	2151-4798	2151-562X	engineering	begell-house-chicago-author-date	author-date	http://dl.begellhouse.com/forauthors/journals/3d21681c18f5b5e7.html
Technobiology	TECHBIO	2578-2401	2578-241X	biology	begell-house-chicago-author-date	author-date	http://dl.begellhouse.com/forauthors/journals/4a34054d5c03bc20.html
Telecommunications and Radio Engineering	TRE	0040-2508	1943-6009	engineering	begell-house-chicago-author-date	author-date	http://dl.begellhouse.com/forauthors/journals/0632a9d54950b268.html
TsAGI Science Journal	TSAGI	1948-2590	1948-2604	engineering	begell-house-chicago-author-date	author-date	http://dl.begellhouse.com/forauthors/journals/58618e1439159b1f.html
Visualization of Mechanical Processes: An International Online Journal	VMP	x	2152-209X	engineering	begell-house-chicago-author-date	author-date	http://dl.begellhouse.com/forauthors/journals/08456987543b9011.html
Visualization, Image Processing and Computation in Biomedicine	VIPCB	x	2162-3511	medicine	begell-house-chicago-author-date	author-date	http://dl.begellhouse.com/forauthors/journals/7e4ff0643eace965.html
